,codici_comune,res_01000300,res_01000401,res_01000402,res_01000403,res_01000404,res_01000501,res_01000502,res_01000503,res_01000601,res_01000602,res_01000700,res_01000801,res_01000802,res_01000901,res_01000902,res_01001000,res_01001100,res_01001200,res_01001300,res_01001700,res_01001901,res_01001903,res_01002301,res_01002302,res_01002303,res_01002304,res_01002601,res_01002602,res_01002603,res_01002604,res_01002605,res_01002606,res_01002701,res_01002702,res_01003001,res_01003002,res_01003003,res_01007901,res_01007902,res_01007903,res_01007904,res_01007905,res_01008500,res_01012001,res_01012002,res_01012401,res_01012402,res_01012601,res_01012602,res_01061000,res_01061100,res_01061200,res_01061300,res_01061400,res_01061500,res_01061600,res_01061700,res_01061800,res_01062000,res_01062100,res_01062200,res_01062300,res_01062600,res_01062700,res_01062800,res_01062900,res_01063000,res_01063100,res_01063200,res_01063300,res_01063400,res_01063500,res_01063900,res_01064000,res_01064100,res_01064200,res_01064300,res_01064400,res_01064600,res_01064700,res_01064800,res_01064900,res_01065100,res_01065300,res_01065400,res_01065500,res_01065600,res_01065700,res_01066100,res_01088200,res_01089000,res_01089100,res_01089200,res_01089300,res_01089700,res_01089800,res_01090101,res_01090102,res_01090104,res_01090201,res_01090203,res_01090301,res_01090302,res_01090400,res_01090501,res_01090502,res_01090600,res_01090701,res_01090702,res_01090703,res_01090800,res_01090901,res_01090904,res_01090907,res_01092000,res_01092100
81,5074,0,0,0,0,0,0,0,0,0,0,0,81,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,0,1,7,1,2,0,0,0,0,0,0
82,4221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0
83,4160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
84,1026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,9,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,3,1,0,1,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0
85,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1122,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,7,1,0,0,0,0,0,0,0,0,0,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,1,0,1,0,1,0,2,0,0,5,0,0,0,1,0,0,0,0,0
87,4150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,4,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
88,6082,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,5,1,0,0,0,0,0,0
89,1066,13,1,7,0,0,0,0,0,0,0,6,4,0,0,0,1,25,1,0,12,24,2,372,432,91,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,22,3,0,1,1,49,0,3,0,1,0,0,16,0,6,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,15,30,5,1,7,0,3,8,0,4,1,50,4,0,14,6,31,39,11,1,0,1,0,0,0,18,0,0,0,5,6
90,6070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
